index	#1 Label	#2 ImageID	#3 String	#3 String
3	0	O_4091.jpg	$T$ and his crew were kicked off a plane after allegedly hot boxing it	Chris Brown
438	0	O_4877.jpg	Chris Paul and $T$ blaming each other after they choke in the 2 nd Round	James Harden
453	0	O_3260.jpg	Kylie Jenner , $T$ withdraws from the Home After Tyga Split , Gets Vulnerable : “ I …	Kris Jenner
454	0	O_3260.jpg	Kylie Jenner , Kris Jenner withdraws from the Home After $T$ Split , Gets Vulnerable : “ I …	Tyga
732	0	16_05_01_37.jpg	$T$ ain ' t a footballer anymore . . Proper tumblr chick now	Memphis Depay
1193	0	16_05_02_527.jpg	Protest grows against $T$ Day Parade	89 er
1611	0	O_2361.jpg	JUST IN : Pentagon officials Threaten To QUIT If $T$ Becomes Presiden	Donald Trump
2300	0	O_2011.jpg	Anti - $T$ sentiment seeps into US - Mexico soccer rivalry - USA TODAY	Donald Trump
2337	0	O_1853.jpg	$T$ ’ s voter fraud commission is itself an enormous fraud :	Donald Trump
2730	0	17_06_3241.jpg	RECALL ALERT : $T$ minivans recalled ; air bag can inflate unexpectedly -	Dodge
3309	0	O_1413.jpg	$T$ used Panama Papers firm to set up offshore company	Emma Watson
3420	0	17_06_8602.jpg	# Classic ! ! How many $T$ fans will I piss off with this one # FreewaySeries # AngelsBaseball # MLB # Baseball ⚾ ️ 🇺 🇸	Dodger
578	1	16_05_09_900.jpg	$T$ to quit as UEFA president as ban appeal fails	Platini
793	1	O_2856.jpg	David Beckham blows a kiss at a $T$ fan giving him abuse , 1999 .	Chelsea
934	1	16_05_22_634.jpg	New music on WHSN : @ CavemanBand " $T$ "	Never Going Back
968	1	17_06_7992.jpg	Sing along to your fav tunes at the $T$ 🎧 # LiveTheBeat	Music Festival
1316	1	17_06_1068.jpg	Thanks to our $T$ football players who helped relocate the Olmsted Falls food pantry tonight !	Bulldog
1423	1	16_05_17_673.jpg	The stunning colours and costumes of the Jidai Matsuri Festival in $T$ . A	Kyoto
1717	1	O_3594.jpg	Spotify playlist with The Louvin Brothers # $T$ and Carly Simon # carlysimon	thelouvinbrothers
2078	1	O_1955.jpg	harry styles looks so dreamy driving his 1966 $T$ convertible .	mercedes - benz
2454	1	O_1.jpg	Why does Ally from Fifth Harmony ' s knee look like $T$	Ed Sheeran
2602	1	16_05_01_204.jpg	premierleague : $T$ makes 8 changes to the LFC side that drew with Newcastle , wit …	Jurgen Klopp
2737	1	16_05_17_450.jpg	Nigerian Footballer , Fikayo Tomori , Wins $T$ Academy Player Of The Year	Chelsea
3206	1	17_06_3140.jpg	U . S . lawmaker $T$ in critical condition after attack by gunman at baseball field	Scalise
446	2	O_4950.jpg	Luke Bryan , $T$ dominate American Country Countdown . . .	Sam Hunt
573	2	16_05_15_746.jpg	My $T$ Tour concert was one year ago today . One of the best 😭	Future Hearts
833	2	O_2824.jpg	Survey : Barack Obama , $T$ and Bill Gates top list of most admired men in America	Pope Francis
921	2	17_06_14559.jpg	$T$ Was the Star of Last Night ' s NBA Finals Game	Rihanna
1346	2	16_05_30_853.jpg	we ' re greeted a total of 280,000 local fans in 27 concerts in four major Japanese cities for " $T$ " FM 🙏 ✨	Fantastic Baby
1609	2	O_2690.jpg	The National Rifle Association has endorsed Donald Trump for President ! # 2 A # $T$ # Trump2016 # TrumpTrain	NRA
1910	2	16_05_27_432.jpg	Not a day goes by that I don ' t miss Disney ' s $T$ at Tokyo Disneyland	Jubilation Parade
1942	2	17_06_676.jpg	Performing what is referred to many as a classic . @ ThePompi Sings $T$ at # TheLockDownConcert	Mizu
2113	2	O_1705.jpg	Miami Heat ’ s No . 1 Priority This Offseason Is Landing $T$ . REPORT :	Kevin Durant
2226	2	17_06_1058.jpg	See you there @ $T$ and later @ tuskafestival \ m /	HelsinkiPride
2423	2	16_05_01_658.jpg	# ICYMI here is the inside story into $T$ ' s triumphant return to @ CMUMavsFootball @ RussMartin13	Antonio Clark
2759	2	16_05_15_63.jpg	$T$ on Messi : I am “ the king ” of football and he is “ the prince ” of football	Pele
